match,market,home_team,away_team,player_name,player_team,opposition_team,line,over_price,agency
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Shreyas Iyer,Kolkata Knight Riders,Delhi Capitals,1.5,1.45,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Venkatesh Iyer,Kolkata Knight Riders,Delhi Capitals,1.5,1.55,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Sunil Narine,Kolkata Knight Riders,Delhi Capitals,1.5,1.75,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,David Warner,Delhi Capitals,Kolkata Knight Riders,2.5,1.7,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Prithvi Shaw,Delhi Capitals,Kolkata Knight Riders,2.5,1.7,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Mitchell Marsh,Delhi Capitals,Kolkata Knight Riders,2.5,2.1,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Rishabh Pant,Delhi Capitals,Kolkata Knight Riders,2.5,2.2,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Phil Salt,Kolkata Knight Riders,Delhi Capitals,2.5,1.8,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Shreyas Iyer,Kolkata Knight Riders,Delhi Capitals,2.5,1.9,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Venkatesh Iyer,Kolkata Knight Riders,Delhi Capitals,2.5,2.1,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Sunil Narine,Kolkata Knight Riders,Delhi Capitals,2.5,2.5,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Mitchell Marsh,Delhi Capitals,Kolkata Knight Riders,0.5,1.55,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,David Warner,Delhi Capitals,Kolkata Knight Riders,0.5,1.6,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Prithvi Shaw,Delhi Capitals,Kolkata Knight Riders,0.5,1.6,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Rishabh Pant,Delhi Capitals,Kolkata Knight Riders,0.5,1.6,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Phil Salt,Kolkata Knight Riders,Delhi Capitals,0.5,1.5,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Shreyas Iyer,Kolkata Knight Riders,Delhi Capitals,0.5,1.7,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Sunil Narine,Kolkata Knight Riders,Delhi Capitals,0.5,1.7,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Venkatesh Iyer,Kolkata Knight Riders,Delhi Capitals,0.5,1.8,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Mitchell Marsh,Delhi Capitals,Kolkata Knight Riders,1.5,2.15,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,David Warner,Delhi Capitals,Kolkata Knight Riders,1.5,2.25,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Prithvi Shaw,Delhi Capitals,Kolkata Knight Riders,1.5,2.25,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Rishabh Pant,Delhi Capitals,Kolkata Knight Riders,1.5,2.25,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Phil Salt,Kolkata Knight Riders,Delhi Capitals,1.5,2,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Shreyas Iyer,Kolkata Knight Riders,Delhi Capitals,1.5,2.5,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Sunil Narine,Kolkata Knight Riders,Delhi Capitals,1.5,2.5,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Venkatesh Iyer,Kolkata Knight Riders,Delhi Capitals,1.5,2.75,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Mitchell Marsh,Delhi Capitals,Kolkata Knight Riders,2.5,2.9,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,David Warner,Delhi Capitals,Kolkata Knight Riders,2.5,3.2,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Prithvi Shaw,Delhi Capitals,Kolkata Knight Riders,2.5,3.2,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Rishabh Pant,Delhi Capitals,Kolkata Knight Riders,2.5,3.2,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Phil Salt,Kolkata Knight Riders,Delhi Capitals,2.5,2.6,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Shreyas Iyer,Kolkata Knight Riders,Delhi Capitals,2.5,3.8,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Sunil Narine,Kolkata Knight Riders,Delhi Capitals,2.5,3.8,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 6s,Delhi Capitals,Kolkata Knight Riders,Venkatesh Iyer,Kolkata Knight Riders,Delhi Capitals,2.5,4.25,TAB
